Step number	Time	VolQplus_planeLVOT	VolQminus_planeLVOT	VolQplus_planeOutflow	VolQminus_planeOutflow	dt	exp_dt	max_velocity	max_pressure
136	0.0731807	0	383231	53727.5	453777	0.001	7.96288e-06	6382.72	0.0067216
137	0.0741807	0	385892	54980	458798	0.001	1.4576e-05	11532.2	0.00658585
138	0.0751807	0	388575	56285.6	463608	0.001	8.48942e-06	19427.8	0.00648361
139	0.0761807	0	391525	57891.7	468511	0.001	5.27185e-06	14248.1	0.00650785
140	0.0771807	0	395612	59742.6	473488	0.001	6.96378e-06	12267.6	0.0068916
141	0.0781807	0	400282	61447.1	478166	0.001	6.89808e-06	13144.1	0.00720596
142	0.0791807	0	405519	63078.1	482701	0.001	5.6966e-06	11923.9	0.00752374
143	0.0796807	0	411321	64556.1	487095	0.0005	3.93181e-06	6432.67	0.00800706
144	0.0801807	0	414362	65365.2	489442	0.0005	8.07802e-06	8713.3	0.00811379
145	0.0811807	0	417633	65952.7	491452	0.001	5.52701e-06	13838.3	0.00800962
146	0.0816807	0	424189	66701.6	495133	0.0005	3.32887e-06	11669.3	0.00777878
147	0.0821807	0	427127	66753.9	496856	0.0005	3.98446e-06	9722.01	0.00743964
148	0.0829776	0	430095	66613.9	498370	0.000796892	4.89057e-06	13079.9	0.00719482
149	0.0834666	0	434630	66018	500479	0.000489057	3.63263e-06	11898.1	0.00689033
150	0.0839557	0	437314	65208.3	501508	0.000489057	4.24877e-06	10655.5	0.00662578
151	0.0848055	0	439989	64191.9	502335	0.000849755	4.52453e-06	14967	0.00652393
152	0.0852579	0	444398	62442.6	503918	0.000452453	3.24551e-06	11292.7	0.00683531
153	0.0857104	0	446102	60885.1	504283	0.000452453	4.36082e-06	10918.2	0.0071147
154	0.0865825	0	447782	59021.2	504310	0.000872164	4.46226e-06	16963.8	0.00723073
155	0.0870287	0	450144	56964.2	506151	0.000446226	2.83114e-06	12583	0.00755906
156	0.087475	0	450995	55836.7	507026	0.000446226	3.91768e-06	11895.4	0.00786617
157	0.0882585	0	451956	54915	508100	0.000783537	4.07539e-06	18156.7	0.00799214
158	0.088666	0	452568	53867.8	510748	0.000407539	2.65358e-06	12964.6	0.00834087
159	0.0890736	0	452518	53586.8	512281	0.000407539	3.79049e-06	12122.2	0.00865734
160	0.0898317	0	452745	53196.8	513695	0.000758098	3.99007e-06	19965.2	0.00876255
161	0.0902307	0	452085	53102.5	517031	0.000399007	2.42016e-06	13700.1	0.00914155
162	0.0906297	0	451559	53225	518850	0.000399007	3.56542e-06	13120.6	0.00944542
163	0.0913428	0	451479	53234.8	520518	0.000713084	3.67096e-06	21292.8	0.0095395
164	0.0917099	0	450596	53466.6	523571	0.000367096	2.28717e-06	13401.1	0.0099608
165	0.092077	0	450263	53472.6	524973	0.000367096	3.64819e-06	12525.2	0.0102699
